Participant;Shoe;OG;L/R;w1;w2
P07;UB;9;R;279;303
P07;UB;8;R;410;434
P07;UB;7;R;265;289
P07;UB;6;R;423;447
P07;UB;5;L;243;273
P07;UB;4;L;233;261
P07;UB;3;L;234;263
P07;UB;2;L;224;251
P07;UB;10;R;239;264
P07;UB;1;L;252;280
P07;RC;9;L;282;310
P07;RC;8;R;298;325
P07;RC;7;R;284;314
P07;RC;6;L;292;319
P07;RC;5;R;293;321
P07;RC;4;R;264;293
P07;RC;3;L;281;307
P07;RC;2;L;283;310
P07;RC;10;L;271;300
P07;RC;1;R;396;424
P07;BOS;9;L;273;313
P07;BOS;8;L;291;325
P07;BOS;7;R;304;335
P07;BOS;6;R;278;306
P07;BOS;5;R;288;313
P07;BOS;4;R;267;294
P07;BOS;2;R;294;320
P07;BOS;12;L;295;334
P07;BOS;11;L;270;304
P07;BOS;10;L;269;307
P05;UB;1;R;258;288
P05;UB;2;R;394;433
P05;UB;3;R;114;151
P05;UB;4;R;302;331
P05;UB;5;R;387;423
P05;UB;6;L;378;413
P05;UB;7;L;291;321
P05;UB;8;L;377;405
P05;UB;9;L;368;397
P05;UB;10;L;319;351
P05;BOS;1;R;408;453
P05;BOS;10;L;413;450
P05;BOS;2;R;342;379
P05;BOS;3;R;287;325
P05;BOS;4;R;337;379
P05;BOS;5;R;287;331
P05;BOS;6;L;191;224
P05;BOS;7;L;241;273
P05;BOS;8;L;320;350
P05;BOS;9;L;279;311
P05;RC;1;L;561;612
P05;RC;10;L;283;318
P05;RC;2;R;351;382
P05;RC;3;R;394;425
P05;RC;4;R;356;386
P05;RC;5;R;355;389
P05;RC;6;R;268;298
P05;RC;7;L;488;516
P05;RC;8;L;335;367
P05;RC;9;L;311;342
P04;BOS;11;R;286;325
P04;BOS;12;R;246;291
P04;BOS;13;R;250;298
P04;BOS;15;L;252;302
P04;BOS;16;L;261;305
P04;BOS;20;L;278;317
P04;BOS;21;L;286;328
P04;BOS;3;R;311;358
P04;BOS;6;L;300;340
P04;BOS;8;R;321;368
P04;RC;1;L;1599;1640
P04;RC;10;R;370;405
P04;RC;11;L;422;462
P04;RC;2;L;288;328
P04;RC;3;R;259;301
P04;RC;4;R;323;361
P04;RC;5;L;302;346
P04;RC;8;R;477;527
P04;RC;9;R;330;375
P04;UB;1;L;231;263
P04;UB;10;R;271;300
P04;UB;11;R;245;278
P04;UB;12;L;297;335
P04;UB;14;L;284;319
P04;UB;4;R;256;289
P04;UB;5;R;272;303
P04;UB;6;R;280;318
P04;UB;7;R;274;308
P04;UB;9;L;350;384
P06;BOS;1;L;230;262
P06;BOS;10;R;231;267
P06;BOS;2;L;297;331
P06;BOS;3;L;226;261
P06;BOS;4;L;186;222
P06;BOS;5;L;167;201
P06;BOS;6;R;218;253
P06;BOS;7;R;262;298
P06;BOS;8;R;187;221
P06;BOS;9;R;254;288
P06;RC;1;L;318;349
P06;RC;10;R;280;312
P06;RC;11;R;326;357
P06;RC;2;L;272;300
P06;RC;3;L;260;290
P06;RC;4;L;281;307
P06;RC;5;L;319;350
P06;RC;6;R;266;298
P06;RC;7;R;318;348
P06;RC;8;R;304;340
P06;RC;9;R;327;360
P06;UB;1;L;291;318
P06;UB;10;R;245;275
P06;UB;2;L;243;268
P06;UB;3;L;228;251
P06;UB;4;L;213;238
P06;UB;5;L;244;268
P06;UB;6;R;189;212
P06;UB;7;R;282;306
P06;UB;8;R;331;355
P06;UB;9;R;247;273
P01;BOS;10;L;395;432
P01;BOS;11;L;390;427
P01;BOS;12;R;342;378
P01;BOS;13;R;364;400
P01;BOS;14;R;325;362
P01;BOS;15;R;335;369
P01;BOS;16;R;364;402
P01;BOS;7;L;406;442
P01;BOS;8;L;407;444
P01;BOS;9;L;401;436
P01;RC;10;L;392;427
P01;RC;11;L;381;415
P01;RC;2;R;363;406
P01;RC;3;R;400;434
P01;RC;4;R;366;399
P01;RC;5;R;360;398
P01;RC;6;R;342;377
P01;RC;7;L;418;455
P01;RC;8;L;361;395
P01;RC;9;L;406;440
P01;UB;1;R;491;523
P01;UB;10;;367;398
P01;UB;2;R;437;462
P01;UB;3;R;96;125
P01;UB;4;R;364;392
P01;UB;5;R;267;292
P01;UB;6;L;406;439
P01;UB;7;L;432;468
P01;UB;8;L;384;416
P01;UB;9;L;371;405
P02;BOS;1;R;363;393
P02;BOS;10;R;280;322
P02;BOS;12;R;292;336
P02;BOS;2;L;344;387
P02;BOS;3;L;347;381
P02;BOS;4;L;319;358
P02;BOS;5;L;335;370
P02;BOS;6;L;358;394
P02;BOS;8;R;411;452
P02;BOS;9;R;339;380
P02;RC;1;R;331;364
P02;RC;10;L;349;394
P02;RC;11;L;248;287
P02;RC;2;R;313;349
P02;RC;3;R;291;329
P02;RC;4;R;304;347
P02;RC;5;R;265;308
P02;RC;6;L;292;336
P02;RC;8;L;325;366
P02;RC;9;L;276;315
P02;UB;1;R;333;363
P02;UB;10;L;317;354
P02;UB;2;R;308;348
P02;UB;3;R;293;334
P02;UB;4;R;276;317
P02;UB;5;R;245;285
P02;UB;6;L;302;344
P02;UB;7;L;336;375
P02;UB;8;L;266;302
P02;UB;9;L;263;300
